tick,topic_id,popularity,gini_index,polarized,agents,ideology_weight
30,t_0_g_0,0.22,0.0360,true,500,1
30,t_1_g_0,0.198,0.0360,true,500,1
30,t_2_g_0,0.196,0.0360,true,500,1
30,t_3_g_0,0.186,0.0360,true,500,1
30,t_4_g_0,0.2,0.0360,true,500,1
60,t_0_g_0,0.22,0.0360,true,500,1
60,t_1_g_0,0.198,0.0360,true,500,1
60,t_2_g_0,0.196,0.0360,true,500,1
60,t_3_g_0,0.186,0.0360,true,500,1
60,t_4_g_0,0.2,0.0360,true,500,1
90,t_0_g_0,0.266,0.2220,true,500,1
90,t_1_g_0,0.07,0.2220,true,500,1
90,t_2_g_0,0.236,0.2220,true,500,1
90,t_3_g_0,0.24,0.2220,true,500,1
90,t_4_g_0,0.188,0.2220,true,500,1
120,t_0_g_0,0.26,0.2130,true,500,1
120,t_1_g_0,0.072,0.2130,true,500,1
120,t_2_g_0,0.242,0.2130,true,500,1
120,t_3_g_0,0.234,0.2130,true,500,1
120,t_4_g_0,0.192,0.2130,true,500,1
150,t_0_g_0,0.34,0.3770,true,500,1
150,t_1_g_0,0.086,0.3770,true,500,1
150,t_2_g_0,0.058,0.3770,true,500,1
150,t_3_g_0,0.276,0.3770,true,500,1
150,t_4_g_0,0.24,0.3770,true,500,1
180,t_0_g_0,0.346,0.4455,true,500,1
180,t_1_g_0,0.1,0.4455,true,500,1
180,t_2_g_1,0,0.4455,true,500,1
180,t_3_g_0,0.25,0.4455,true,500,1
180,t_4_g_0,0.258,0.4455,true,500,1
210,t_0_g_0,0.436,0.5290,true,500,1
210,t_1_g_0,0.164,0.5290,true,500,1
210,t_2_g_1,0.098,0.5290,true,500,1
210,t_3_g_1,0.006,0.5290,true,500,1
210,t_4_g_0,0.296,0.5290,true,500,1
240,t_0_g_0,0.432,0.4810,true,500,1
240,t_1_g_0,0.128,0.4810,true,500,1
240,t_2_g_1,0.126,0.4810,true,500,1
240,t_3_g_1,0.03,0.4810,true,500,1
240,t_4_g_0,0.284,0.4810,true,500,1
270,t_0_g_0,0.476,0.5550,true,500,1
270,t_1_g_1,0.016,0.5550,true,500,1
270,t_2_g_1,0.102,0.5550,true,500,1
270,t_3_g_1,0.114,0.5550,true,500,1
270,t_4_g_0,0.292,0.5550,true,500,1
300,t_0_g_0,0.494,0.5730,true,500,1
300,t_1_g_1,0.04,0.5730,true,500,1
300,t_2_g_1,0.06,0.5730,true,500,1
300,t_3_g_1,0.108,0.5730,true,500,1
300,t_4_g_0,0.298,0.5730,true,500,1
330,t_0_g_0,0.59,0.6070,true,500,1
330,t_1_g_1,0.158,0.6070,true,500,1
330,t_2_g_1,0.12,0.6070,true,500,1
330,t_3_g_1,0.13,0.6070,true,500,1
330,t_4_g_1,0.002,0.6070,true,500,1
360,t_0_g_0,0.582,0.5900,true,500,1
360,t_1_g_1,0.17,0.5900,true,500,1
360,t_2_g_1,0.116,0.5900,true,500,1
360,t_3_g_1,0.11,0.5900,true,500,1
360,t_4_g_1,0.022,0.5900,true,500,1
390,t_0_g_0,0.618,0.7290,true,500,1
390,t_1_g_1,0.242,0.7290,true,500,1
390,t_2_g_2,0.016,0.7290,true,500,1
390,t_3_g_2,0.002,0.7290,true,500,1
390,t_4_g_1,0.122,0.7290,true,500,1
420,t_0_g_0,0.598,0.7000,true,500,1
420,t_1_g_1,0.256,0.7000,true,500,1
420,t_2_g_2,0.024,0.7000,true,500,1
420,t_3_g_2,0.014,0.7000,true,500,1
420,t_4_g_1,0.108,0.7000,true,500,1
450,t_0_g_0,0.606,0.7080,true,500,1
450,t_1_g_1,0.282,0.7080,true,500,1
450,t_2_g_2,0.05,0.7080,true,500,1
450,t_3_g_2,0.046,0.7080,true,500,1
450,t_4_g_1,0.016,0.7080,true,500,1
480,t_0_g_0,0.584,0.6860,true,500,1
480,t_1_g_1,0.294,0.6860,true,500,1
480,t_2_g_2,0.052,0.6860,true,500,1
480,t_3_g_2,0.05,0.6860,true,500,1
480,t_4_g_1,0.02,0.6860,true,500,1
510,t_0_g_0,0.574,0.6940,true,500,1
510,t_1_g_1,0.32,0.6940,true,500,1
510,t_2_g_2,0.046,0.6940,true,500,1
510,t_3_g_2,0.04,0.6940,true,500,1
510,t_4_g_2,0.02,0.6940,true,500,1
540,t_0_g_0,0.562,0.6730,true,500,1
540,t_1_g_1,0.324,0.6730,true,500,1
540,t_2_g_2,0.046,0.6730,true,500,1
540,t_3_g_2,0.034,0.6730,true,500,1
540,t_4_g_2,0.034,0.6730,true,500,1
570,t_0_g_0,0.572,0.7300,true,500,1
570,t_1_g_1,0.348,0.7300,true,500,1
570,t_2_g_3,0.02,0.7300,true,500,1
570,t_3_g_3,0.006,0.7300,true,500,1
570,t_4_g_2,0.054,0.7300,true,500,1
600,t_0_g_0,0.556,0.6770,true,500,1
600,t_1_g_1,0.336,0.6770,true,500,1
600,t_2_g_3,0.038,0.6770,true,500,1
600,t_3_g_3,0.028,0.6770,true,500,1
600,t_4_g_2,0.042,0.6770,true,500,1
630,t_0_g_1,0.004,0.4660,true,500,1
630,t_1_g_1,0.46,0.4660,true,500,1
630,t_2_g_3,0.184,0.4660,true,500,1
630,t_3_g_3,0.166,0.4660,true,500,1
630,t_4_g_2,0.186,0.4660,true,500,1
660,t_0_g_1,0.014,0.4550,true,500,1
660,t_1_g_1,0.46,0.4550,true,500,1
660,t_2_g_3,0.18,0.4550,true,500,1
660,t_3_g_3,0.164,0.4550,true,500,1
660,t_4_g_2,0.182,0.4550,true,500,1
690,t_0_g_1,0.132,0.5290,true,500,1
690,t_1_g_1,0.568,0.5290,true,500,1
690,t_2_g_3,0.074,0.5290,true,500,1
690,t_3_g_3,0.078,0.5290,true,500,1
690,t_4_g_2,0.148,0.5290,true,500,1
720,t_0_g_1,0.15,0.5230,true,500,1
720,t_1_g_1,0.576,0.5230,true,500,1
720,t_2_g_3,0.1,0.5230,true,500,1
720,t_3_g_3,0.092,0.5230,true,500,1
720,t_4_g_2,0.082,0.5230,true,500,1
750,t_0_g_1,0.098,0.5990,true,500,1
750,t_1_g_1,0.65,0.5990,true,500,1
750,t_2_g_3,0.1,0.5990,true,500,1
750,t_3_g_3,0.1,0.5990,true,500,1
750,t_4_g_3,0.052,0.5990,true,500,1
780,t_0_g_1,0.134,0.7020,true,500,1
780,t_1_g_1,0.68,0.7020,true,500,1
780,t_2_g_4,0.006,0.7020,true,500,1
780,t_3_g_3,0.102,0.7020,true,500,1
780,t_4_g_3,0.078,0.7020,true,500,1
810,t_0_g_1,0.118,0.7510,true,500,1
810,t_1_g_1,0.73,0.7510,true,500,1
810,t_2_g_4,0.068,0.7510,true,500,1
810,t_3_g_4,0.004,0.7510,true,500,1
810,t_4_g_3,0.08,0.7510,true,500,1
840,t_0_g_2,0.008,0.7730,true,500,1
840,t_1_g_1,0.752,0.7730,true,500,1
840,t_2_g_4,0.1,0.7730,true,500,1
840,t_3_g_4,0.042,0.7730,true,500,1
840,t_4_g_3,0.098,0.7730,true,500,1
870,t_0_g_2,0.054,0.7270,true,500,1
870,t_1_g_1,0.758,0.7270,true,500,1
870,t_2_g_4,0.044,0.7270,true,500,1
870,t_3_g_4,0.08,0.7270,true,500,1
870,t_4_g_3,0.064,0.7270,true,500,1
900,t_0_g_2,0.084,0.7510,true,500,1
900,t_1_g_1,0.766,0.7510,true,500,1
900,t_2_g_4,0.036,0.7510,true,500,1
900,t_3_g_4,0.072,0.7510,true,500,1
900,t_4_g_3,0.042,0.7510,true,500,1
930,t_0_g_2,0.1,0.7630,true,500,1
930,t_1_g_1,0.764,0.7630,true,500,1
930,t_2_g_4,0.058,0.7630,true,500,1
930,t_3_g_4,0.054,0.7630,true,500,1
930,t_4_g_4,0.024,0.7630,true,500,1
960,t_0_g_2,0.122,0.7880,true,500,1
960,t_1_g_1,0.756,0.7880,true,500,1
960,t_2_g_5,0.006,0.7880,true,500,1
960,t_3_g_4,0.046,0.7880,true,500,1
960,t_4_g_4,0.07,0.7880,true,500,1
990,t_0_g_2,0.09,0.7930,true,500,1
990,t_1_g_1,0.77,0.7930,true,500,1
990,t_2_g_5,0.044,0.7930,true,500,1
990,t_3_g_5,0.002,0.7930,true,500,1
990,t_4_g_4,0.094,0.7930,true,500,1
1020,t_0_g_3,0.006,0.8130,true,500,1
1020,t_1_g_1,0.792,0.8130,true,500,1
1020,t_2_g_5,0.096,0.8130,true,500,1
1020,t_3_g_5,0.042,0.8130,true,500,1
1020,t_4_g_4,0.064,0.8130,true,500,1
1050,t_0_g_3,0.02,0.7880,true,500,1
1050,t_1_g_1,0.784,0.7880,true,500,1
1050,t_2_g_5,0.088,0.7880,true,500,1
1050,t_3_g_5,0.068,0.7880,true,500,1
1050,t_4_g_4,0.04,0.7880,true,500,1
1080,t_0_g_3,0.07,0.7370,true,500,1
1080,t_1_g_1,0.776,0.7370,true,500,1
1080,t_2_g_5,0.048,0.7370,true,500,1
1080,t_3_g_5,0.054,0.7370,true,500,1
1080,t_4_g_4,0.052,0.7370,true,500,1
1110,t_0_g_3,0.084,0.7530,true,500,1
1110,t_1_g_1,0.764,0.7530,true,500,1
1110,t_2_g_5,0.07,0.7530,true,500,1
1110,t_3_g_5,0.058,0.7530,true,500,1
1110,t_4_g_5,0.024,0.7530,true,500,1
1140,t_0_g_3,0.114,0.7820,true,500,1
1140,t_1_g_1,0.758,0.7820,true,500,1
1140,t_2_g_6,0.006,0.7820,true,500,1
1140,t_3_g_5,0.054,0.7820,true,500,1
1140,t_4_g_5,0.068,0.7820,true,500,1
1170,t_0_g_3,0.076,0.7890,true,500,1
1170,t_1_g_1,0.766,0.7890,true,500,1
1170,t_2_g_6,0.056,0.7890,true,500,1
1170,t_3_g_6,0,0.7890,true,500,1
1170,t_4_g_5,0.102,0.7890,true,500,1
1200,t_0_g_4,0.004,0.7830,true,500,1
1200,t_1_g_1,0.768,0.7830,true,500,1
1200,t_2_g_6,0.094,0.7830,true,500,1
1200,t_3_g_6,0.056,0.7830,true,500,1
1200,t_4_g_5,0.078,0.7830,true,500,1
1230,t_0_g_4,0.03,0.7610,true,500,1
1230,t_1_g_1,0.77,0.7610,true,500,1
1230,t_2_g_6,0.05,0.7610,true,500,1
1230,t_3_g_6,0.092,0.7610,true,500,1
1230,t_4_g_5,0.058,0.7610,true,500,1
1260,t_0_g_4,0.074,0.7320,true,500,1
1260,t_1_g_1,0.77,0.7320,true,500,1
1260,t_2_g_6,0.048,0.7320,true,500,1
1260,t_3_g_6,0.054,0.7320,true,500,1
1260,t_4_g_5,0.054,0.7320,true,500,1
1290,t_0_g_4,0.082,0.7720,true,500,1
1290,t_1_g_1,0.774,0.7720,true,500,1
1290,t_2_g_6,0.074,0.7720,true,500,1
1290,t_3_g_6,0.054,0.7720,true,500,1
1290,t_4_g_6,0.016,0.7720,true,500,1
1320,t_0_g_4,0.068,0.7990,true,500,1
1320,t_1_g_1,0.794,0.7990,true,500,1
1320,t_2_g_7,0.012,0.7990,true,500,1
1320,t_3_g_6,0.08,0.7990,true,500,1
1320,t_4_g_6,0.046,0.7990,true,500,1
1350,t_0_g_4,0.086,0.8140,true,500,1
1350,t_1_g_1,0.794,0.8140,true,500,1
1350,t_2_g_7,0.046,0.8140,true,500,1
1350,t_3_g_7,0,0.8140,true,500,1
1350,t_4_g_6,0.074,0.8140,true,500,1
1380,t_0_g_5,0.002,0.8210,true,500,1
1380,t_1_g_1,0.794,0.8210,true,500,1
1380,t_2_g_7,0.094,0.8210,true,500,1
1380,t_3_g_7,0.036,0.8210,true,500,1
1380,t_4_g_6,0.074,0.8210,true,500,1
1410,t_0_g_5,0.02,0.7810,true,500,1
1410,t_1_g_1,0.792,0.7810,true,500,1
1410,t_2_g_7,0.062,0.7810,true,500,1
1410,t_3_g_7,0.072,0.7810,true,500,1
1410,t_4_g_6,0.054,0.7810,true,500,1
1440,t_0_g_5,0.06,0.7650,true,500,1
1440,t_1_g_1,0.798,0.7650,true,500,1
1440,t_2_g_7,0.038,0.7650,true,500,1
1440,t_3_g_7,0.054,0.7650,true,500,1
1440,t_4_g_6,0.05,0.7650,true,500,1
1470,t_0_g_5,0.082,0.7850,true,500,1
1470,t_1_g_1,0.786,0.7850,true,500,1
1470,t_2_g_7,0.062,0.7850,true,500,1
1470,t_3_g_7,0.056,0.7850,true,500,1
1470,t_4_g_7,0.014,0.7850,true,500,1
1500,t_0_g_5,0.096,0.7990,true,500,1
1500,t_1_g_1,0.784,0.7990,true,500,1
1500,t_2_g_8,0.006,0.7990,true,500,1
1500,t_3_g_7,0.06,0.7990,true,500,1
1500,t_4_g_7,0.054,0.7990,true,500,1
1530,t_0_g_5,0.056,0.8120,true,500,1
1530,t_1_g_1,0.798,0.8120,true,500,1
1530,t_2_g_8,0.056,0.8120,true,500,1
1530,t_3_g_8,0.002,0.8120,true,500,1
1530,t_4_g_7,0.088,0.8120,true,500,1
1560,t_0_g_6,0.002,0.8360,true,500,1
1560,t_1_g_1,0.806,0.8360,true,500,1
1560,t_2_g_8,0.094,0.8360,true,500,1
1560,t_3_g_8,0.03,0.8360,true,500,1
1560,t_4_g_7,0.068,0.8360,true,500,1
1590,t_0_g_6,0.032,0.7940,true,500,1
1590,t_1_g_1,0.812,0.7940,true,500,1
1590,t_2_g_8,0.064,0.7940,true,500,1
1590,t_3_g_8,0.056,0.7940,true,500,1
1590,t_4_g_7,0.036,0.7940,true,500,1
1620,t_0_g_6,0.064,0.7610,true,500,1
1620,t_1_g_1,0.796,0.7610,true,500,1
1620,t_2_g_8,0.044,0.7610,true,500,1
1620,t_3_g_8,0.046,0.7610,true,500,1
1620,t_4_g_7,0.05,0.7610,true,500,1
1650,t_0_g_6,0.1,0.7880,true,500,1
1650,t_1_g_1,0.774,0.7880,true,500,1
1650,t_2_g_8,0.064,0.7880,true,500,1
1650,t_3_g_8,0.052,0.7880,true,500,1
1650,t_4_g_8,0.01,0.7880,true,500,1
1680,t_0_g_6,0.126,0.8290,true,500,1
1680,t_1_g_1,0.784,0.8290,true,500,1
1680,t_2_g_9,0,0.8290,true,500,1
1680,t_3_g_8,0.054,0.8290,true,500,1
1680,t_4_g_8,0.036,0.8290,true,500,1
1710,t_0_g_6,0.152,0.8500,true,500,1
1710,t_1_g_1,0.784,0.8500,true,500,1
1710,t_2_g_9,0.02,0.8500,true,500,1
1710,t_3_g_9,0,0.8500,true,500,1
1710,t_4_g_8,0.044,0.8500,true,500,1
1740,t_0_g_6,0.166,0.8380,true,500,1
1740,t_1_g_1,0.776,0.8380,true,500,1
1740,t_2_g_9,0.026,0.8380,true,500,1
1740,t_3_g_9,0.01,0.8380,true,500,1
1740,t_4_g_8,0.022,0.8380,true,500,1
1770,t_0_g_6,0.174,0.8250,true,500,1
1770,t_1_g_1,0.766,0.8250,true,500,1
1770,t_2_g_9,0.018,0.8250,true,500,1
1770,t_3_g_9,0.02,0.8250,true,500,1
1770,t_4_g_8,0.022,0.8250,true,500,1
1800,t_0_g_6,0.356,0.3690,true,500,1
1800,t_1_g_2,0.002,0.3690,true,500,1
1800,t_2_g_9,0.232,0.3690,true,500,1
1800,t_3_g_9,0.202,0.3690,true,500,1
1800,t_4_g_8,0.208,0.3690,true,500,1
1830,t_0_g_6,0.35,0.3620,true,500,1
1830,t_1_g_2,0.008,0.3620,true,500,1
1830,t_2_g_9,0.24,0.3620,true,500,1
1830,t_3_g_9,0.2,0.3620,true,500,1
1830,t_4_g_8,0.202,0.3620,true,500,1
1860,t_0_g_6,0.47,0.5850,true,500,1
1860,t_1_g_2,0.138,0.5850,true,500,1
1860,t_2_g_9,0.312,0.5850,true,500,1
1860,t_3_g_9,0.078,0.5850,true,500,1
1860,t_4_g_9,0.002,0.5850,true,500,1
1890,t_0_g_6,0.466,0.5700,true,500,1
1890,t_1_g_2,0.134,0.5700,true,500,1
1890,t_2_g_9,0.308,0.5700,true,500,1
1890,t_3_g_9,0.084,0.5700,true,500,1
1890,t_4_g_9,0.008,0.5700,true,500,1
1920,t_0_g_6,0.51,0.6500,true,500,1
1920,t_1_g_2,0.032,0.6500,true,500,1
