tick,topic_id,popularity,gini_index,polarized,agents,ideology_weight
30,t_0_g_0,0.2,0.0510,false,500,2.5
30,t_1_g_0,0.226,0.0510,false,500,2.5
30,t_2_g_0,0.2,0.0510,false,500,2.5
30,t_3_g_0,0.176,0.0510,false,500,2.5
30,t_4_g_0,0.198,0.0510,false,500,2.5
60,t_0_g_0,0.2,0.0510,false,500,2.5
60,t_1_g_0,0.226,0.0510,false,500,2.5
60,t_2_g_0,0.2,0.0510,false,500,2.5
60,t_3_g_0,0.176,0.0510,false,500,2.5
60,t_4_g_0,0.198,0.0510,false,500,2.5
90,t_0_g_0,0.18,0.1590,false,500,2.5
90,t_1_g_0,0.13,0.1590,false,500,2.5
90,t_2_g_0,0.246,0.1590,false,500,2.5
90,t_3_g_0,0.188,0.1590,false,500,2.5
90,t_4_g_0,0.256,0.1590,false,500,2.5
120,t_0_g_0,0.18,0.1540,false,500,2.5
120,t_1_g_0,0.132,0.1540,false,500,2.5
120,t_2_g_0,0.24,0.1540,false,500,2.5
120,t_3_g_0,0.192,0.1540,false,500,2.5
120,t_4_g_0,0.256,0.1540,false,500,2.5
150,t_0_g_0,0.122,0.3040,false,500,2.5
150,t_1_g_0,0.14,0.3040,false,500,2.5
150,t_2_g_0,0.274,0.3040,false,500,2.5
150,t_3_g_0,0.118,0.3040,false,500,2.5
150,t_4_g_0,0.346,0.3040,false,500,2.5
180,t_0_g_0,0.1,0.3340,false,500,2.5
180,t_1_g_0,0.164,0.3340,false,500,2.5
180,t_2_g_0,0.274,0.3340,false,500,2.5
180,t_3_g_0,0.11,0.3340,false,500,2.5
180,t_4_g_0,0.352,0.3340,false,500,2.5
210,t_0_g_1,0.014,0.5200,false,500,2.5
210,t_1_g_0,0.116,0.5200,false,500,2.5
210,t_2_g_0,0.288,0.5200,false,500,2.5
210,t_3_g_0,0.134,0.5200,false,500,2.5
210,t_4_g_0,0.448,0.5200,false,500,2.5
240,t_0_g_1,0.048,0.6000,false,500,2.5
240,t_1_g_1,0.006,0.6000,false,500,2.5
240,t_2_g_0,0.32,0.6000,false,500,2.5
240,t_3_g_0,0.156,0.6000,false,500,2.5
240,t_4_g_0,0.47,0.6000,false,500,2.5
270,t_0_g_1,0.128,0.6130,false,500,2.5
270,t_1_g_1,0.062,0.6130,false,500,2.5
270,t_2_g_0,0.316,0.6130,false,500,2.5
270,t_3_g_1,0.004,0.6130,false,500,2.5
270,t_4_g_0,0.49,0.6130,false,500,2.5
300,t_0_g_1,0.128,0.5550,false,500,2.5
