tick,topic_id,popularity,gini_index,polarized,agents,ideology_weight
30,t_0_g_0,0.208,0.0330,false,500,0.5
30,t_1_g_0,0.204,0.0330,false,500,0.5
30,t_2_g_0,0.178,0.0330,false,500,0.5
30,t_3_g_0,0.208,0.0330,false,500,0.5
30,t_4_g_0,0.202,0.0330,false,500,0.5
60,t_0_g_0,0.208,0.0330,false,500,0.5
60,t_1_g_0,0.204,0.0330,false,500,0.5
60,t_2_g_0,0.178,0.0330,false,500,0.5
60,t_3_g_0,0.208,0.0330,false,500,0.5
60,t_4_g_0,0.202,0.0330,false,500,0.5
90,t_0_g_0,0.198,0.0350,false,500,0.5
90,t_1_g_0,0.2,0.0350,false,500,0.5
90,t_2_g_0,0.182,0.0350,false,500,0.5
90,t_3_g_0,0.208,0.0350,false,500,0.5
90,t_4_g_0,0.212,0.0350,false,500,0.5
120,t_0_g_0,0.206,0.0230,false,500,0.5
120,t_1_g_0,0.202,0.0230,false,500,0.5
120,t_2_g_0,0.186,0.0230,false,500,0.5
120,t_3_g_0,0.206,0.0230,false,500,0.5
120,t_4_g_0,0.2,0.0230,false,500,0.5
150,t_0_g_0,0.018,0.2440,false,500,0.5
150,t_1_g_0,0.238,0.2440,false,500,0.5
150,t_2_g_0,0.24,0.2440,false,500,0.5
150,t_3_g_0,0.246,0.2440,false,500,0.5
150,t_4_g_0,0.258,0.2440,false,500,0.5
180,t_0_g_1,0,0.2707,false,500,0.5
180,t_1_g_0,0.232,0.2707,false,500,0.5
180,t_2_g_0,0.248,0.2707,false,500,0.5
180,t_3_g_0,0.252,0.2707,false,500,0.5
180,t_4_g_0,0.258,0.2707,false,500,0.5
210,t_0_g_1,0.006,0.2580,false,500,0.5
210,t_1_g_0,0.234,0.2580,false,500,0.5
210,t_2_g_0,0.252,0.2580,false,500,0.5
210,t_3_g_0,0.254,0.2580,false,500,0.5
210,t_4_g_0,0.254,0.2580,false,500,0.5
240,t_0_g_1,0.09,0.4200,false,500,0.5
240,t_1_g_0,0.284,0.4200,false,500,0.5
240,t_2_g_0,0.306,0.4200,false,500,0.5
240,t_3_g_1,0.004,0.4200,false,500,0.5
240,t_4_g_0,0.316,0.4200,false,500,0.5
270,t_0_g_1,0.1,0.3970,false,500,0.5
270,t_1_g_0,0.274,0.3970,false,500,0.5
270,t_2_g_0,0.302,0.3970,false,500,0.5
270,t_3_g_1,0.014,0.3970,false,500,0.5
270,t_4_g_0,0.31,0.3970,false,500,0.5
300,t_0_g_1,0.022,0.4610,false,500,0.5
300,t_1_g_0,0.292,0.4610,false,500,0.5
300,t_2_g_0,0.322,0.4610,false,500,0.5
300,t_3_g_1,0.028,0.4610,false,500,0.5
300,t_4_g_0,0.336,0.4610,false,500,0.5
330,t_0_g_1,0.018,0.4700,false,500,0.5
330,t_1_g_0,0.288,0.4700,false,500,0.5
330,t_2_g_0,0.322,0.4700,false,500,0.5
330,t_3_g_1,0.03,0.4700,false,500,0.5
330,t_4_g_0,0.342,0.4700,false,500,0.5
360,t_0_g_1,0.014,0.4840,false,500,0.5
360,t_1_g_0,0.298,0.4840,false,500,0.5
360,t_2_g_0,0.308,0.4840,false,500,0.5
360,t_3_g_1,0.024,0.4840,false,500,0.5
360,t_4_g_0,0.356,0.4840,false,500,0.5
390,t_0_g_2,0.008,0.5050,false,500,0.5
390,t_1_g_0,0.294,0.5050,false,500,0.5
390,t_2_g_0,0.316,0.5050,false,500,0.5
390,t_3_g_1,0.018,0.5050,false,500,0.5
390,t_4_g_0,0.364,0.5050,false,500,0.5
420,t_0_g_2,0.024,0.5090,false,500,0.5
420,t_1_g_0,0.292,0.5090,false,500,0.5
420,t_2_g_0,0.318,0.5090,false,500,0.5
420,t_3_g_2,0.002,0.5090,false,500,0.5
420,t_4_g_0,0.364,0.5090,false,500,0.5
450,t_0_g_2,0.116,0.5560,false,500,0.5
