tick,topic_id,popularity,gini_index,polarized,agents,ideology_weight
30,t_0_g_0,0.198,0.0410,false,500,1
30,t_1_g_0,0.198,0.0410,false,500,1
30,t_2_g_0,0.222,0.0410,false,500,1
30,t_3_g_0,0.2,0.0410,false,500,1
30,t_4_g_0,0.182,0.0410,false,500,1
60,t_0_g_0,0.198,0.0410,false,500,1
60,t_1_g_0,0.198,0.0410,false,500,1
60,t_2_g_0,0.222,0.0410,false,500,1
60,t_3_g_0,0.2,0.0410,false,500,1
60,t_4_g_0,0.182,0.0410,false,500,1
90,t_0_g_0,0.05,0.4050,false,500,1
90,t_1_g_0,0.04,0.4050,false,500,1
90,t_2_g_0,0.318,0.4050,false,500,1
90,t_3_g_0,0.288,0.4050,false,500,1
90,t_4_g_0,0.304,0.4050,false,500,1
120,t_0_g_0,0.052,0.3930,false,500,1
120,t_1_g_0,0.052,0.3930,false,500,1
120,t_2_g_0,0.32,0.3930,false,500,1
120,t_3_g_0,0.274,0.3930,false,500,1
120,t_4_g_0,0.302,0.3930,false,500,1
150,t_0_g_0,0.016,0.4530,false,500,1
150,t_1_g_0,0.038,0.4530,false,500,1
150,t_2_g_0,0.33,0.4530,false,500,1
150,t_3_g_0,0.3,0.4530,false,500,1
150,t_4_g_0,0.316,0.4530,false,500,1
180,t_0_g_1,0,0.4712,false,500,1
180,t_1_g_0,0.038,0.4712,false,500,1
180,t_2_g_0,0.324,0.4712,false,500,1
180,t_3_g_0,0.304,0.4712,false,500,1
180,t_4_g_0,0.306,0.4712,false,500,1
210,t_0_g_1,0.016,0.4710,false,500,1
210,t_1_g_1,0.012,0.4710,false,500,1
210,t_2_g_0,0.326,0.4710,false,500,1
210,t_3_g_0,0.328,0.4710,false,500,1
210,t_4_g_0,0.318,0.4710,false,500,1
240,t_0_g_1,0.028,0.4510,false,500,1
240,t_1_g_1,0.02,0.4510,false,500,1
240,t_2_g_0,0.328,0.4510,false,500,1
240,t_3_g_0,0.314,0.4510,false,500,1
240,t_4_g_0,0.31,0.4510,false,500,1
270,t_0_g_1,0.034,0.4480,false,500,1
270,t_1_g_1,0.022,0.4480,false,500,1
270,t_2_g_0,0.334,0.4480,false,500,1
270,t_3_g_0,0.306,0.4480,false,500,1
270,t_4_g_0,0.304,0.4480,false,500,1
300,t_0_g_1,0.11,0.5220,false,500,1
300,t_1_g_1,0.118,0.5220,false,500,1
300,t_2_g_1,0.004,0.5220,false,500,1
300,t_3_g_0,0.394,0.5220,false,500,1
300,t_4_g_0,0.374,0.5220,false,500,1
330,t_0_g_1,0.106,0.5240,false,500,1
330,t_1_g_1,0.114,0.5240,false,500,1
330,t_2_g_1,0.008,0.5240,false,500,1
330,t_3_g_0,0.398,0.5240,false,500,1
330,t_4_g_0,0.374,0.5240,false,500,1
360,t_0_g_1,0.044,0.5810,false,500,1
360,t_1_g_1,0.042,0.5810,false,500,1
360,t_2_g_1,0.062,0.5810,false,500,1
360,t_3_g_0,0.438,0.5810,false,500,1
