tick,topic_id,popularity,gini_index,polarized,agents,ideology_weight
30,t_0_g_0,0.158,0.0750,true,500,2.5
30,t_1_g_0,0.2,0.0750,true,500,2.5
30,t_2_g_0,0.23,0.0750,true,500,2.5
30,t_3_g_0,0.206,0.0750,true,500,2.5
30,t_4_g_0,0.206,0.0750,true,500,2.5
60,t_0_g_0,0.158,0.0750,true,500,2.5
60,t_1_g_0,0.2,0.0750,true,500,2.5
60,t_2_g_0,0.23,0.0750,true,500,2.5
60,t_3_g_0,0.206,0.0750,true,500,2.5
60,t_4_g_0,0.206,0.0750,true,500,2.5
90,t_0_g_0,0.15,0.1170,true,500,2.5
90,t_1_g_0,0.172,0.1170,true,500,2.5
90,t_2_g_0,0.238,0.1170,true,500,2.5
90,t_3_g_0,0.21,0.1170,true,500,2.5
90,t_4_g_0,0.23,0.1170,true,500,2.5
120,t_0_g_0,0.148,0.1220,true,500,2.5
120,t_1_g_0,0.168,0.1220,true,500,2.5
120,t_2_g_0,0.238,0.1220,true,500,2.5
120,t_3_g_0,0.214,0.1220,true,500,2.5
120,t_4_g_0,0.232,0.1220,true,500,2.5
150,t_0_g_0,0.13,0.1200,true,500,2.5
150,t_1_g_0,0.192,0.1200,true,500,2.5
150,t_2_g_0,0.234,0.1200,true,500,2.5
150,t_3_g_0,0.22,0.1200,true,500,2.5
150,t_4_g_0,0.224,0.1200,true,500,2.5
180,t_0_g_0,0.136,0.1090,true,500,2.5
180,t_1_g_0,0.192,0.1090,true,500,2.5
180,t_2_g_0,0.228,0.1090,true,500,2.5
180,t_3_g_0,0.218,0.1090,true,500,2.5
180,t_4_g_0,0.226,0.1090,true,500,2.5
210,t_0_g_0,0.128,0.1620,true,500,2.5
210,t_1_g_0,0.166,0.1620,true,500,2.5
210,t_2_g_0,0.258,0.1620,true,500,2.5
210,t_3_g_0,0.218,0.1620,true,500,2.5
210,t_4_g_0,0.23,0.1620,true,500,2.5
240,t_0_g_0,0.12,0.1780,true,500,2.5
240,t_1_g_0,0.164,0.1780,true,500,2.5
240,t_2_g_0,0.262,0.1780,true,500,2.5
240,t_3_g_0,0.218,0.1780,true,500,2.5
240,t_4_g_0,0.236,0.1780,true,500,2.5
270,t_0_g_0,0.128,0.1680,true,500,2.5
270,t_1_g_0,0.162,0.1680,true,500,2.5
270,t_2_g_0,0.26,0.1680,true,500,2.5
270,t_3_g_0,0.234,0.1680,true,500,2.5
270,t_4_g_0,0.216,0.1680,true,500,2.5
300,t_0_g_0,0.166,0.3580,true,500,2.5
300,t_1_g_1,0.002,0.3580,true,500,2.5
300,t_2_g_0,0.298,0.3580,true,500,2.5
300,t_3_g_0,0.29,0.3580,true,500,2.5
300,t_4_g_0,0.244,0.3580,true,500,2.5
330,t_0_g_1,0.002,0.3750,true,500,2.5
330,t_1_g_1,0.152,0.3750,true,500,2.5
330,t_2_g_0,0.278,0.3750,true,500,2.5
330,t_3_g_0,0.314,0.3750,true,500,2.5
330,t_4_g_0,0.254,0.3750,true,500,2.5
360,t_0_g_1,0.034,0.3050,true,500,2.5
360,t_1_g_1,0.17,0.3050,true,500,2.5
360,t_2_g_0,0.26,0.3050,true,500,2.5
360,t_3_g_0,0.294,0.3050,true,500,2.5
360,t_4_g_0,0.242,0.3050,true,500,2.5
390,t_0_g_1,0.16,0.1910,true,500,2.5
390,t_1_g_1,0.116,0.1910,true,500,2.5
390,t_2_g_0,0.23,0.1910,true,500,2.5
390,t_3_g_0,0.272,0.1910,true,500,2.5
390,t_4_g_0,0.222,0.1910,true,500,2.5
420,t_0_g_1,0.218,0.4010,true,500,2.5
420,t_1_g_1,0.156,0.4010,true,500,2.5
420,t_2_g_0,0.294,0.4010,true,500,2.5
420,t_3_g_0,0.332,0.4010,true,500,2.5
420,t_4_g_1,0,0.4010,true,500,2.5
450,t_0_g_1,0.17,0.3130,true,500,2.5
450,t_1_g_1,0.138,0.3130,true,500,2.5
450,t_2_g_0,0.284,0.3130,true,500,2.5
450,t_3_g_0,0.324,0.3130,true,500,2.5
450,t_4_g_1,0.084,0.3130,true,500,2.5
480,t_0_g_1,0.092,0.2870,true,500,2.5
480,t_1_g_1,0.15,0.2870,true,500,2.5
480,t_2_g_0,0.284,0.2870,true,500,2.5
480,t_3_g_0,0.312,0.2870,true,500,2.5
480,t_4_g_1,0.162,0.2870,true,500,2.5
510,t_0_g_1,0.08,0.2710,true,500,2.5
510,t_1_g_1,0.18,0.2710,true,500,2.5
510,t_2_g_0,0.28,0.2710,true,500,2.5
510,t_3_g_0,0.294,0.2710,true,500,2.5
510,t_4_g_1,0.166,0.2710,true,500,2.5
540,t_0_g_1,0.164,0.4090,true,500,2.5
540,t_1_g_1,0.246,0.4090,true,500,2.5
540,t_2_g_1,0,0.4090,true,500,2.5
540,t_3_g_0,0.368,0.4090,true,500,2.5
540,t_4_g_1,0.222,0.4090,true,500,2.5
570,t_0_g_1,0.174,0.2930,true,500,2.5
570,t_1_g_1,0.232,0.2930,true,500,2.5
570,t_2_g_1,0.062,0.2930,true,500,2.5
570,t_3_g_0,0.326,0.2930,true,500,2.5
570,t_4_g_1,0.206,0.2930,true,500,2.5
600,t_0_g_1,0.148,0.2040,true,500,2.5
600,t_1_g_1,0.17,0.2040,true,500,2.5
600,t_2_g_1,0.15,0.2040,true,500,2.5
600,t_3_g_0,0.322,0.2040,true,500,2.5
600,t_4_g_1,0.21,0.2040,true,500,2.5
630,t_0_g_1,0.182,0.3870,true,500,2.5
630,t_1_g_2,0.012,0.3870,true,500,2.5
630,t_2_g_1,0.186,0.3870,true,500,2.5
630,t_3_g_0,0.36,0.3870,true,500,2.5
630,t_4_g_1,0.26,0.3870,true,500,2.5
660,t_0_g_1,0.18,0.3500,true,500,2.5
660,t_1_g_2,0.04,0.3500,true,500,2.5
660,t_2_g_1,0.174,0.3500,true,500,2.5
660,t_3_g_0,0.348,0.3500,true,500,2.5
660,t_4_g_1,0.258,0.3500,true,500,2.5
690,t_0_g_2,0.064,0.2820,true,500,2.5
690,t_1_g_2,0.18,0.2820,true,500,2.5
690,t_2_g_1,0.196,0.2820,true,500,2.5
690,t_3_g_0,0.312,0.2820,true,500,2.5
690,t_4_g_1,0.248,0.2820,true,500,2.5
720,t_0_g_2,0.148,0.3590,true,500,2.5
720,t_1_g_2,0.27,0.3590,true,500,2.5
720,t_2_g_1,0.264,0.3590,true,500,2.5
720,t_3_g_1,0.01,0.3590,true,500,2.5
720,t_4_g_1,0.308,0.3590,true,500,2.5
750,t_0_g_2,0.158,0.2650,true,500,2.5
750,t_1_g_2,0.28,0.2650,true,500,2.5
750,t_2_g_1,0.236,0.2650,true,500,2.5
750,t_3_g_1,0.066,0.2650,true,500,2.5
750,t_4_g_1,0.26,0.2650,true,500,2.5
780,t_0_g_2,0.114,0.2390,true,500,2.5
780,t_1_g_2,0.272,0.2390,true,500,2.5
780,t_2_g_1,0.236,0.2390,true,500,2.5
780,t_3_g_1,0.11,0.2390,true,500,2.5
780,t_4_g_1,0.268,0.2390,true,500,2.5
810,t_0_g_2,0.092,0.3190,true,500,2.5
810,t_1_g_2,0.332,0.3190,true,500,2.5
810,t_2_g_1,0.246,0.3190,true,500,2.5
810,t_3_g_1,0.09,0.3190,true,500,2.5
810,t_4_g_1,0.24,0.3190,true,500,2.5
840,t_0_g_2,0.078,0.3820,true,500,2.5
840,t_1_g_2,0.348,0.3820,true,500,2.5
840,t_2_g_1,0.298,0.3820,true,500,2.5
840,t_3_g_1,0.076,0.3820,true,500,2.5
840,t_4_g_1,0.2,0.3820,true,500,2.5
870,t_0_g_2,0.116,0.4910,true,500,2.5
870,t_1_g_2,0.432,0.4910,true,500,2.5
870,t_2_g_1,0.294,0.4910,true,500,2.5
870,t_3_g_1,0.128,0.4910,true,500,2.5
870,t_4_g_2,0.03,0.4910,true,500,2.5
900,t_0_g_2,0.106,0.4270,true,500,2.5
900,t_1_g_2,0.408,0.4270,true,500,2.5
900,t_2_g_1,0.288,0.4270,true,500,2.5
900,t_3_g_1,0.126,0.4270,true,500,2.5
900,t_4_g_2,0.072,0.4270,true,500,2.5
930,t_0_g_3,0.008,0.4930,true,500,2.5
930,t_1_g_2,0.396,0.4930,true,500,2.5
930,t_2_g_1,0.338,0.4930,true,500,2.5
930,t_3_g_1,0.128,0.4930,true,500,2.5
930,t_4_g_2,0.13,0.4930,true,500,2.5
960,t_0_g_3,0.058,0.5630,true,500,2.5
960,t_1_g_2,0.42,0.5630,true,500,2.5
960,t_2_g_1,0.36,0.5630,true,500,2.5
960,t_3_g_2,0.008,0.5630,true,500,2.5
960,t_4_g_2,0.154,0.5630,true,500,2.5
990,t_0_g_3,0.098,0.4740,true,500,2.5
990,t_1_g_2,0.388,0.4740,true,500,2.5
990,t_2_g_1,0.342,0.4740,true,500,2.5
990,t_3_g_2,0.036,0.4740,true,500,2.5
990,t_4_g_2,0.136,0.4740,true,500,2.5
1020,t_0_g_3,0.084,0.3860,true,500,2.5
1020,t_1_g_2,0.356,0.3860,true,500,2.5
1020,t_2_g_1,0.332,0.3860,true,500,2.5
1020,t_3_g_2,0.104,0.3860,true,500,2.5
1020,t_4_g_2,0.124,0.3860,true,500,2.5
