tick,topic_id,popularity,gini_index,polarized,agents,ideology_weight
30,t_0_g_0,0.212,0.0850,true,500,1
30,t_1_g_0,0.206,0.0850,true,500,1
30,t_2_g_0,0.162,0.0850,true,500,1
30,t_3_g_0,0.234,0.0850,true,500,1
30,t_4_g_0,0.186,0.0850,true,500,1
60,t_0_g_0,0.212,0.0850,true,500,1
60,t_1_g_0,0.206,0.0850,true,500,1
60,t_2_g_0,0.162,0.0850,true,500,1
60,t_3_g_0,0.234,0.0850,true,500,1
60,t_4_g_0,0.186,0.0850,true,500,1
90,t_0_g_0,0.31,0.3800,true,500,1
90,t_1_g_0,0.028,0.3800,true,500,1
90,t_2_g_0,0.108,0.3800,true,500,1
90,t_3_g_0,0.304,0.3800,true,500,1
90,t_4_g_0,0.25,0.3800,true,500,1
120,t_0_g_0,0.32,0.4160,true,500,1
120,t_1_g_0,0.048,0.4160,true,500,1
120,t_2_g_0,0.048,0.4160,true,500,1
120,t_3_g_0,0.328,0.4160,true,500,1
120,t_4_g_0,0.256,0.4160,true,500,1
150,t_0_g_0,0.336,0.4660,true,500,1
150,t_1_g_0,0.048,0.4660,true,500,1
150,t_2_g_0,0.014,0.4660,true,500,1
150,t_3_g_0,0.336,0.4660,true,500,1
150,t_4_g_0,0.266,0.4660,true,500,1
180,t_0_g_0,0.328,0.5062,true,500,1
180,t_1_g_1,0,0.5062,true,500,1
180,t_2_g_0,0.034,0.5062,true,500,1
180,t_3_g_0,0.344,0.5062,true,500,1
180,t_4_g_0,0.264,0.5062,true,500,1
210,t_0_g_0,0.338,0.5010,true,500,1
210,t_1_g_1,0.024,0.5010,true,500,1
210,t_2_g_1,0.002,0.5010,true,500,1
210,t_3_g_0,0.346,0.5010,true,500,1
210,t_4_g_0,0.29,0.5010,true,500,1
240,t_0_g_0,0.328,0.4770,true,500,1
240,t_1_g_1,0.03,0.4770,true,500,1
240,t_2_g_1,0.01,0.4770,true,500,1
240,t_3_g_0,0.338,0.4770,true,500,1
240,t_4_g_0,0.294,0.4770,true,500,1
270,t_0_g_0,0.324,0.4680,true,500,1
270,t_1_g_1,0.014,0.4680,true,500,1
270,t_2_g_1,0.032,0.4680,true,500,1
270,t_3_g_0,0.336,0.4680,true,500,1
270,t_4_g_0,0.294,0.4680,true,500,1
300,t_0_g_0,0.384,0.5120,true,500,1
300,t_1_g_1,0.11,0.5120,true,500,1
300,t_2_g_1,0.134,0.5120,true,500,1
300,t_3_g_1,0.002,0.5120,true,500,1
300,t_4_g_0,0.37,0.5120,true,500,1
330,t_0_g_0,0.376,0.4850,true,500,1
330,t_1_g_1,0.116,0.4850,true,500,1
330,t_2_g_1,0.12,0.4850,true,500,1
330,t_3_g_1,0.018,0.4850,true,500,1
330,t_4_g_0,0.37,0.4850,true,500,1
360,t_0_g_0,0.43,0.5760,true,500,1
360,t_1_g_1,0.036,0.5760,true,500,1
360,t_2_g_1,0.05,0.5760,true,500,1
360,t_3_g_1,0.07,0.5760,true,500,1
360,t_4_g_0,0.414,0.5760,true,500,1
390,t_0_g_0,0.428,0.6190,true,500,1
390,t_1_g_2,0.038,0.6190,true,500,1
390,t_2_g_2,0.01,0.6190,true,500,1
390,t_3_g_1,0.09,0.6190,true,500,1
390,t_4_g_0,0.434,0.6190,true,500,1
420,t_0_g_0,0.434,0.6110,true,500,1
420,t_1_g_2,0.064,0.6110,true,500,1
420,t_2_g_2,0.024,0.6110,true,500,1
420,t_3_g_1,0.04,0.6110,true,500,1
420,t_4_g_0,0.438,0.6110,true,500,1
450,t_0_g_0,0.436,0.6200,true,500,1
450,t_1_g_2,0.04,0.6200,true,500,1
450,t_2_g_2,0.046,0.6200,true,500,1
450,t_3_g_1,0.028,0.6200,true,500,1
450,t_4_g_0,0.45,0.6200,true,500,1
480,t_0_g_0,0.432,0.6550,true,500,1
480,t_1_g_2,0.042,0.6550,true,500,1
480,t_2_g_2,0.058,0.6550,true,500,1
480,t_3_g_2,0.004,0.6550,true,500,1
480,t_4_g_0,0.464,0.6550,true,500,1
510,t_0_g_0,0.444,0.6510,true,500,1
510,t_1_g_2,0.044,0.6510,true,500,1
510,t_2_g_2,0.034,0.6510,true,500,1
510,t_3_g_2,0.016,0.6510,true,500,1
510,t_4_g_0,0.462,0.6510,true,500,1
540,t_0_g_0,0.448,0.6590,true,500,1
540,t_1_g_2,0.026,0.6590,true,500,1
540,t_2_g_2,0.02,0.6590,true,500,1
540,t_3_g_2,0.038,0.6590,true,500,1
540,t_4_g_0,0.468,0.6590,true,500,1
570,t_0_g_1,0.002,0.5990,true,500,1
570,t_1_g_3,0.126,0.5990,true,500,1
570,t_2_g_3,0.124,0.5990,true,500,1
570,t_3_g_2,0.17,0.5990,true,500,1
570,t_4_g_0,0.578,0.5990,true,500,1
600,t_0_g_1,0.012,0.5690,true,500,1
600,t_1_g_3,0.134,0.5690,true,500,1
