tick,topic_id,popularity,gini_index,polarized,agents,ideology_weight
30,t_0_g_0,0.356,0.0400,false,500,1
30,t_1_g_0,0.316,0.0400,false,500,1
30,t_2_g_0,0.328,0.0400,false,500,1
60,t_0_g_0,0.356,0.0400,false,500,1
60,t_1_g_0,0.316,0.0400,false,500,1
60,t_2_g_0,0.328,0.0400,false,500,1
90,t_0_g_0,0.468,0.4880,false,500,1
90,t_1_g_0,0.022,0.4880,false,500,1
90,t_2_g_0,0.51,0.4880,false,500,1
120,t_0_g_0,0.468,0.4680,false,500,1
120,t_1_g_0,0.032,0.4680,false,500,1
120,t_2_g_0,0.5,0.4680,false,500,1
150,t_0_g_0,0.48,0.4600,false,500,1
150,t_1_g_0,0.03,0.4600,false,500,1
150,t_2_g_0,0.49,0.4600,false,500,1
180,t_0_g_0,0.478,0.5010,false,500,1
180,t_1_g_1,0,0.5010,false,500,1
180,t_2_g_0,0.48,0.5010,false,500,1
210,t_0_g_0,0.506,0.4880,false,500,1
210,t_1_g_1,0.018,0.4880,false,500,1
210,t_2_g_0,0.476,0.4880,false,500,1
240,t_0_g_0,0.508,0.4680,false,500,1
240,t_1_g_1,0.04,0.4680,false,500,1
240,t_2_g_0,0.452,0.4680,false,500,1
270,t_0_g_0,0.504,0.4700,false,500,1
270,t_1_g_1,0.034,0.4700,false,500,1
270,t_2_g_0,0.462,0.4700,false,500,1
300,t_0_g_0,0.502,0.4620,false,500,1
300,t_1_g_1,0.04,0.4620,false,500,1
300,t_2_g_0,0.458,0.4620,false,500,1
330,t_0_g_0,0.504,0.4640,false,500,1
330,t_1_g_1,0.04,0.4640,false,500,1
330,t_2_g_0,0.456,0.4640,false,500,1
360,t_0_g_0,0.488,0.4500,false,500,1
360,t_1_g_1,0.038,0.4500,false,500,1
360,t_2_g_0,0.474,0.4500,false,500,1
390,t_0_g_0,0.506,0.4920,false,500,1
390,t_1_g_2,0.014,0.4920,false,500,1
390,t_2_g_0,0.48,0.4920,false,500,1
420,t_0_g_0,0.478,0.4500,false,500,1
420,t_1_g_2,0.036,0.4500,false,500,1
420,t_2_g_0,0.486,0.4500,false,500,1
450,t_0_g_0,0.414,0.4620,false,500,1
450,t_1_g_2,0.062,0.4620,false,500,1
450,t_2_g_0,0.524,0.4620,false,500,1
480,t_0_g_1,0.01,0.7140,false,500,1
480,t_1_g_2,0.266,0.7140,false,500,1
480,t_2_g_0,0.724,0.7140,false,500,1
510,t_0_g_1,0.024,0.6860,false,500,1
510,t_1_g_2,0.266,0.6860,false,500,1
510,t_2_g_0,0.71,0.6860,false,500,1
540,t_0_g_1,0.162,0.7740,false,500,1
540,t_1_g_2,0.032,0.7740,false,500,1
540,t_2_g_0,0.806,0.7740,false,500,1
570,t_0_g_1,0.192,0.7640,false,500,1
570,t_1_g_3,0.022,0.7640,false,500,1
570,t_2_g_0,0.786,0.7640,false,500,1
600,t_0_g_1,0.06,0.7720,false,500,1
600,t_1_g_3,0.108,0.7720,false,500,1
600,t_2_g_0,0.832,0.7720,false,500,1
630,t_0_g_1,0.04,0.7780,false,500,1
630,t_1_g_3,0.142,0.7780,false,500,1
630,t_2_g_0,0.818,0.7780,false,500,1
660,t_0_g_2,0.024,0.7860,false,500,1
660,t_1_g_3,0.166,0.7860,false,500,1
660,t_2_g_0,0.81,0.7860,false,500,1
690,t_0_g_2,0.098,0.7620,false,500,1
690,t_1_g_3,0.07,0.7620,false,500,1
690,t_2_g_0,0.832,0.7620,false,500,1
720,t_0_g_2,0.112,0.7800,false,500,1
720,t_1_g_3,0.054,0.7800,false,500,1
720,t_2_g_0,0.834,0.7800,false,500,1
750,t_0_g_2,0.092,0.8040,false,500,1
750,t_1_g_4,0.052,0.8040,false,500,1
750,t_2_g_0,0.856,0.8040,false,500,1
780,t_0_g_2,0.068,0.7880,false,500,1
780,t_1_g_4,0.076,0.7880,false,500,1
780,t_2_g_0,0.856,0.7880,false,500,1
810,t_0_g_2,0.042,0.8440,false,500,1
810,t_1_g_4,0.072,0.8440,false,500,1
810,t_2_g_0,0.886,0.8440,false,500,1
840,t_0_g_3,0.022,0.8660,false,500,1
840,t_1_g_4,0.09,0.8660,false,500,1
840,t_2_g_0,0.888,0.8660,false,500,1
870,t_0_g_3,0.072,0.8240,false,500,1
870,t_1_g_4,0.052,0.8240,false,500,1
870,t_2_g_0,0.876,0.8240,false,500,1
900,t_0_g_3,0.1,0.8160,false,500,1
900,t_1_g_4,0.042,0.8160,false,500,1
900,t_2_g_0,0.858,0.8160,false,500,1
930,t_0_g_3,0.09,0.8460,false,500,1
930,t_1_g_5,0.032,0.8460,false,500,1
930,t_2_g_0,0.878,0.8460,false,500,1
960,t_0_g_3,0.058,0.8140,false,500,1
960,t_1_g_5,0.07,0.8140,false,500,1
960,t_2_g_0,0.872,0.8140,false,500,1
990,t_0_g_3,0.034,0.8460,false,500,1
990,t_1_g_5,0.086,0.8460,false,500,1
990,t_2_g_0,0.88,0.8460,false,500,1
1020,t_0_g_4,0.038,0.8380,false,500,1
1020,t_1_g_5,0.086,0.8380,false,500,1
1020,t_2_g_0,0.876,0.8380,false,500,1
1050,t_0_g_4,0.08,0.8080,false,500,1
1050,t_1_g_5,0.056,0.8080,false,500,1
1050,t_2_g_0,0.864,0.8080,false,500,1
1080,t_0_g_4,0.08,0.8240,false,500,1
1080,t_1_g_5,0.048,0.8240,false,500,1
1080,t_2_g_0,0.872,0.8240,false,500,1
1110,t_0_g_4,0.076,0.8440,false,500,1
1110,t_1_g_6,0.04,0.8440,false,500,1
1110,t_2_g_0,0.884,0.8440,false,500,1
1140,t_0_g_4,0.06,0.8120,false,500,1
1140,t_1_g_6,0.068,0.8120,false,500,1
1140,t_2_g_0,0.872,0.8120,false,500,1
1170,t_0_g_4,0.052,0.8320,false,500,1
1170,t_1_g_6,0.064,0.8320,false,500,1
1170,t_2_g_0,0.884,0.8320,false,500,1
1200,t_0_g_5,0.028,0.8680,false,500,1
1200,t_1_g_6,0.076,0.8680,false,500,1
1200,t_2_g_0,0.896,0.8680,false,500,1
1230,t_0_g_5,0.068,0.8360,false,500,1
1230,t_1_g_6,0.048,0.8360,false,500,1
1230,t_2_g_0,0.884,0.8360,false,500,1
1260,t_0_g_5,0.078,0.8660,false,500,1
1260,t_1_g_6,0.028,0.8660,false,500,1
1260,t_2_g_0,0.894,0.8660,false,500,1
1290,t_0_g_5,0.074,0.8620,false,500,1
1290,t_1_g_7,0.032,0.8620,false,500,1
1290,t_2_g_0,0.894,0.8620,false,500,1
1320,t_0_g_5,0.058,0.8200,false,500,1
1320,t_1_g_7,0.064,0.8200,false,500,1
1320,t_2_g_0,0.878,0.8200,false,500,1
1350,t_0_g_5,0.054,0.8140,false,500,1
1350,t_1_g_7,0.078,0.8140,false,500,1
1350,t_2_g_0,0.868,0.8140,false,500,1
1380,t_0_g_6,0.024,0.8700,false,500,1
1380,t_1_g_7,0.082,0.8700,false,500,1
1380,t_2_g_0,0.894,0.8700,false,500,1
1410,t_0_g_6,0.066,0.8340,false,500,1
1410,t_1_g_7,0.05,0.8340,false,500,1
1410,t_2_g_0,0.884,0.8340,false,500,1
1440,t_0_g_6,0.084,0.8400,false,500,1
1440,t_1_g_7,0.038,0.8400,false,500,1
1440,t_2_g_0,0.878,0.8400,false,500,1
1470,t_0_g_6,0.08,0.8720,false,500,1
1470,t_1_g_8,0.024,0.8720,false,500,1
1470,t_2_g_0,0.896,0.8720,false,500,1
1500,t_0_g_6,0.046,0.8380,false,500,1
1500,t_1_g_8,0.07,0.8380,false,500,1
1500,t_2_g_0,0.884,0.8380,false,500,1
1530,t_0_g_6,0.034,0.8540,false,500,1
1530,t_1_g_8,0.078,0.8540,false,500,1
1530,t_2_g_0,0.888,0.8540,false,500,1
1560,t_0_g_7,0.018,0.8900,false,500,1
1560,t_1_g_8,0.074,0.8900,false,500,1
1560,t_2_g_0,0.908,0.8900,false,500,1
1590,t_0_g_7,0.048,0.8340,false,500,1
1590,t_1_g_8,0.07,0.8340,false,500,1
1590,t_2_g_0,0.882,0.8340,false,500,1
1620,t_0_g_7,0.078,0.8180,false,500,1
1620,t_1_g_8,0.052,0.8180,false,500,1
1620,t_2_g_0,0.87,0.8180,false,500,1
1650,t_0_g_7,0.116,0.8280,false,500,1
1650,t_1_g_9,0.028,0.8280,false,500,1
1650,t_2_g_0,0.856,0.8280,false,500,1
1680,t_0_g_7,0.514,0.5140,false,500,1
1680,t_1_g_9,0.486,0.5140,false,500,1
1680,t_2_g_1,0,0.5140,false,500,1
1710,t_0_g_7,0.508,0.5020,false,500,1
1710,t_1_g_9,0.486,0.5020,false,500,1
1710,t_2_g_1,0.006,0.5020,false,500,1
1740,t_0_g_7,0.504,0.4880,false,500,1
1740,t_1_g_9,0.48,0.4880,false,500,1
1740,t_2_g_1,0.016,0.4880,false,500,1
1770,t_0_g_7,0.49,0.4620,false,500,1
1770,t_1_g_9,0.482,0.4620,false,500,1
1770,t_2_g_1,0.028,0.4620,false,500,1
1800,t_0_g_7,0.486,0.4500,false,500,1
1800,t_1_g_9,0.478,0.4500,false,500,1
1800,t_2_g_1,0.036,0.4500,false,500,1
1830,t_0_g_7,0.5,0.4680,false,500,1
1830,t_1_g_9,0.468,0.4680,false,500,1
1830,t_2_g_1,0.032,0.4680,false,500,1
1860,t_0_g_7,0.532,0.5240,false,500,1
1860,t_1_g_9,0.46,0.5240,false,500,1
1860,t_2_g_2,0.008,0.5240,false,500,1
1890,t_0_g_7,0.514,0.4860,false,500,1
1890,t_1_g_9,0.458,0.4860,false,500,1
1890,t_2_g_2,0.028,0.4860,false,500,1
1920,t_0_g_7,0.498,0.4600,false,500,1
1920,t_1_g_9,0.464,0.4600,false,500,1
1920,t_2_g_2,0.038,0.4600,false,500,1
1950,t_0_g_7,0.492,0.4600,false,500,1
1950,t_1_g_9,0.476,0.4600,false,500,1
1950,t_2_g_2,0.032,0.4600,false,500,1
1980,t_0_g_7,0.49,0.4660,false,500,1
1980,t_1_g_9,0.486,0.4660,false,500,1
1980,t_2_g_2,0.024,0.4660,false,500,1
2010,t_0_g_7,0.488,0.4520,false,500,1
2010,t_1_g_9,0.476,0.4520,false,500,1
2010,t_2_g_2,0.036,0.4520,false,500,1
2040,t_0_g_7,0.512,0.4880,false,500,1
2040,t_1_g_9,0.464,0.4880,false,500,1
2040,t_2_g_3,0.024,0.4880,false,500,1
2070,t_0_g_7,0.496,0.4560,false,500,1
2070,t_1_g_9,0.464,0.4560,false,500,1
2070,t_2_g_3,0.04,0.4560,false,500,1
2100,t_0_g_7,0.706,0.7040,false,500,1
2100,t_1_g_10,0.002,0.7040,false,500,1
2100,t_2_g_3,0.292,0.7040,false,500,1
2130,t_0_g_7,0.69,0.6780,false,500,1
2130,t_1_g_10,0.012,0.6780,false,500,1
2130,t_2_g_3,0.298,0.6780,false,500,1
