tick,topic_id,popularity,gini_index,polarized,agents,ideology_weight
30,t_0_g_0,0.3,0.0660,true,500,1
30,t_1_g_0,0.366,0.0660,true,500,1
30,t_2_g_0,0.334,0.0660,true,500,1
60,t_0_g_0,0.3,0.0660,true,500,1
60,t_1_g_0,0.366,0.0660,true,500,1
60,t_2_g_0,0.334,0.0660,true,500,1
90,t_0_g_0,0.014,0.5220,true,500,1
90,t_1_g_0,0.536,0.5220,true,500,1
90,t_2_g_0,0.45,0.5220,true,500,1
120,t_0_g_0,0.022,0.5100,true,500,1
120,t_1_g_0,0.532,0.5100,true,500,1
120,t_2_g_0,0.446,0.5100,true,500,1
150,t_0_g_0,0.032,0.4920,true,500,1
150,t_1_g_0,0.524,0.4920,true,500,1
150,t_2_g_0,0.444,0.4920,true,500,1
180,t_0_g_1,0,0.5405,true,500,1
180,t_1_g_0,0.52,0.5405,true,500,1
180,t_2_g_0,0.442,0.5405,true,500,1
210,t_0_g_1,0.03,0.5020,true,500,1
210,t_1_g_0,0.532,0.5020,true,500,1
210,t_2_g_0,0.438,0.5020,true,500,1
240,t_0_g_1,0.042,0.4800,true,500,1
240,t_1_g_0,0.522,0.4800,true,500,1
240,t_2_g_0,0.436,0.4800,true,500,1
270,t_0_g_1,0.26,0.7320,true,500,1
270,t_1_g_0,0.736,0.7320,true,500,1
270,t_2_g_1,0.004,0.7320,true,500,1
300,t_0_g_1,0.26,0.7160,true,500,1
300,t_1_g_0,0.728,0.7160,true,500,1
300,t_2_g_1,0.012,0.7160,true,500,1
330,t_0_g_1,0.02,0.8160,true,500,1
330,t_1_g_0,0.836,0.8160,true,500,1
330,t_2_g_1,0.144,0.8160,true,500,1
360,t_0_g_1,0.032,0.7840,true,500,1
360,t_1_g_0,0.816,0.7840,true,500,1
360,t_2_g_1,0.152,0.7840,true,500,1
390,t_0_g_2,0.072,0.8320,true,500,1
390,t_1_g_0,0.88,0.8320,true,500,1
390,t_2_g_1,0.048,0.8320,true,500,1
420,t_0_g_2,0.106,0.7980,true,500,1
420,t_1_g_0,0.846,0.7980,true,500,1
420,t_2_g_1,0.048,0.7980,true,500,1
450,t_0_g_2,0.118,0.8340,true,500,1
450,t_1_g_0,0.858,0.8340,true,500,1
450,t_2_g_2,0.024,0.8340,true,500,1
480,t_0_g_2,0.072,0.8160,true,500,1
480,t_1_g_0,0.872,0.8160,true,500,1
480,t_2_g_2,0.056,0.8160,true,500,1
510,t_0_g_2,0.054,0.8140,true,500,1
510,t_1_g_0,0.868,0.8140,true,500,1
510,t_2_g_2,0.078,0.8140,true,500,1
540,t_0_g_2,0.064,0.7900,true,500,1
540,t_1_g_0,0.854,0.7900,true,500,1
540,t_2_g_2,0.082,0.7900,true,500,1
570,t_0_g_3,0.032,0.8520,true,500,1
570,t_1_g_0,0.884,0.8520,true,500,1
570,t_2_g_2,0.084,0.8520,true,500,1
600,t_0_g_3,0.058,0.8180,true,500,1
600,t_1_g_0,0.876,0.8180,true,500,1
600,t_2_g_2,0.066,0.8180,true,500,1
630,t_0_g_3,0.084,0.8880,true,500,1
630,t_1_g_0,0.902,0.8880,true,500,1
630,t_2_g_3,0.014,0.8880,true,500,1
660,t_0_g_3,0.07,0.8620,true,500,1
660,t_1_g_0,0.896,0.8620,true,500,1
660,t_2_g_3,0.034,0.8620,true,500,1
690,t_0_g_3,0.044,0.8380,true,500,1
690,t_1_g_0,0.882,0.8380,true,500,1
690,t_2_g_3,0.074,0.8380,true,500,1
720,t_0_g_3,0.08,0.7580,true,500,1
720,t_1_g_0,0.838,0.7580,true,500,1
720,t_2_g_3,0.082,0.7580,true,500,1
750,t_0_g_4,0.016,0.8600,true,500,1
750,t_1_g_0,0.876,0.8600,true,500,1
750,t_2_g_3,0.108,0.8600,true,500,1
780,t_0_g_4,0.036,0.8280,true,500,1
780,t_1_g_0,0.864,0.8280,true,500,1
780,t_2_g_3,0.1,0.8280,true,500,1
810,t_0_g_4,0.092,0.8840,true,500,1
810,t_1_g_0,0.896,0.8840,true,500,1
810,t_2_g_4,0.012,0.8840,true,500,1
840,t_0_g_4,0.09,0.8420,true,500,1
840,t_1_g_0,0.876,0.8420,true,500,1
840,t_2_g_4,0.034,0.8420,true,500,1
870,t_0_g_4,0.056,0.8100,true,500,1
870,t_1_g_0,0.866,0.8100,true,500,1
870,t_2_g_4,0.078,0.8100,true,500,1
900,t_0_g_4,0.062,0.8000,true,500,1
900,t_1_g_0,0.862,0.8000,true,500,1
900,t_2_g_4,0.076,0.8000,true,500,1
930,t_0_g_4,0.088,0.8240,true,500,1
930,t_1_g_0,0.868,0.8240,true,500,1
930,t_2_g_4,0.044,0.8240,true,500,1
960,t_0_g_4,0.084,0.8120,true,500,1
960,t_1_g_0,0.864,0.8120,true,500,1
960,t_2_g_4,0.052,0.8120,true,500,1
990,t_0_g_5,0.024,0.8740,true,500,1
990,t_1_g_0,0.898,0.8740,true,500,1
990,t_2_g_4,0.078,0.8740,true,500,1
1020,t_0_g_5,0.09,0.8700,true,500,1
1020,t_1_g_0,0.89,0.8700,true,500,1
1020,t_2_g_5,0.02,0.8700,true,500,1
1050,t_0_g_5,0.086,0.8100,true,500,1
1050,t_1_g_0,0.862,0.8100,true,500,1
1050,t_2_g_5,0.052,0.8100,true,500,1
1080,t_0_g_5,0.046,0.8300,true,500,1
1080,t_1_g_0,0.876,0.8300,true,500,1
1080,t_2_g_5,0.078,0.8300,true,500,1
1110,t_0_g_5,0.054,0.8140,true,500,1
1110,t_1_g_0,0.868,0.8140,true,500,1
1110,t_2_g_5,0.078,0.8140,true,500,1
1140,t_0_g_5,0.066,0.8140,true,500,1
1140,t_1_g_0,0.874,0.8140,true,500,1
1140,t_2_g_5,0.06,0.8140,true,500,1
1170,t_0_g_6,0.014,0.8780,true,500,1
1170,t_1_g_0,0.892,0.8780,true,500,1
1170,t_2_g_5,0.094,0.8780,true,500,1
1200,t_0_g_6,0.092,0.9080,true,500,1
1200,t_1_g_0,0.908,0.9080,true,500,1
1200,t_2_g_6,0,0.9080,true,500,1
1230,t_0_g_6,0.092,0.8520,true,500,1
1230,t_1_g_0,0.88,0.8520,true,500,1
1230,t_2_g_6,0.028,0.8520,true,500,1
1260,t_0_g_6,0.07,0.8100,true,500,1
1260,t_1_g_0,0.87,0.8100,true,500,1
1260,t_2_g_6,0.06,0.8100,true,500,1
1290,t_0_g_6,0.042,0.8460,true,500,1
1290,t_1_g_0,0.888,0.8460,true,500,1
1290,t_2_g_6,0.07,0.8460,true,500,1
1320,t_0_g_6,0.058,0.8380,true,500,1
1320,t_1_g_0,0.89,0.8380,true,500,1
1320,t_2_g_6,0.052,0.8380,true,500,1
1350,t_0_g_7,0.008,0.9060,true,500,1
1350,t_1_g_0,0.914,0.9060,true,500,1
1350,t_2_g_6,0.078,0.9060,true,500,1
1380,t_0_g_7,0.034,0.8580,true,500,1
1380,t_1_g_0,0.892,0.8580,true,500,1
1380,t_2_g_6,0.074,0.8580,true,500,1
1410,t_0_g_7,0.078,0.8860,true,500,1
1410,t_1_g_0,0.904,0.8860,true,500,1
1410,t_2_g_7,0.018,0.8860,true,500,1
1440,t_0_g_7,0.068,0.8320,true,500,1
1440,t_1_g_0,0.882,0.8320,true,500,1
1440,t_2_g_7,0.05,0.8320,true,500,1
1470,t_0_g_7,0.042,0.8440,true,500,1
1470,t_1_g_0,0.886,0.8440,true,500,1
1470,t_2_g_7,0.072,0.8440,true,500,1
1500,t_0_g_7,0.468,0.5109,true,500,1
1500,t_1_g_1,0,0.5109,true,500,1
1500,t_2_g_7,0.448,0.5109,true,500,1
1530,t_0_g_7,0.5,0.5000,true,500,1
1530,t_1_g_1,0,0.5000,true,500,1
1530,t_2_g_7,0.5,0.5000,true,500,1
1560,t_0_g_7,0.474,0.4980,true,500,1
1560,t_1_g_1,0.014,0.4980,true,500,1
1560,t_2_g_7,0.512,0.4980,true,500,1
1590,t_0_g_8,0.008,0.7280,true,500,1
1590,t_1_g_1,0.256,0.7280,true,500,1
1590,t_2_g_7,0.736,0.7280,true,500,1
1620,t_0_g_8,0.008,0.7220,true,500,1
1620,t_1_g_1,0.262,0.7220,true,500,1
1620,t_2_g_7,0.73,0.7220,true,500,1
1650,t_0_g_8,0.148,0.8040,true,500,1
1650,t_1_g_1,0.024,0.8040,true,500,1
1650,t_2_g_7,0.828,0.8040,true,500,1
1680,t_0_g_8,0.172,0.7760,true,500,1
1680,t_1_g_1,0.026,0.7760,true,500,1
1680,t_2_g_7,0.802,0.7760,true,500,1
1710,t_0_g_8,0.044,0.8240,true,500,1
1710,t_1_g_2,0.088,0.8240,true,500,1
1710,t_2_g_7,0.868,0.8240,true,500,1
1740,t_0_g_8,0.032,0.8260,true,500,1
1740,t_1_g_2,0.11,0.8260,true,500,1
1740,t_2_g_7,0.858,0.8260,true,500,1
1770,t_0_g_9,0.048,0.8460,true,500,1
1770,t_1_g_2,0.058,0.8460,true,500,1
1770,t_2_g_7,0.894,0.8460,true,500,1
1800,t_0_g_9,0.074,0.8260,true,500,1
1800,t_1_g_2,0.05,0.8260,true,500,1
1800,t_2_g_7,0.876,0.8260,true,500,1
1830,t_0_g_9,0.056,0.8640,true,500,1
1830,t_1_g_2,0.04,0.8640,true,500,1
1830,t_2_g_7,0.904,0.8640,true,500,1
1860,t_0_g_9,0.06,0.8360,true,500,1
1860,t_1_g_2,0.052,0.8360,true,500,1
1860,t_2_g_7,0.888,0.8360,true,500,1
1890,t_0_g_9,0.076,0.8480,true,500,1
1890,t_1_g_3,0.038,0.8480,true,500,1
1890,t_2_g_7,0.886,0.8480,true,500,1
1920,t_0_g_9,0.066,0.7980,true,500,1
1920,t_1_g_3,0.07,0.7980,true,500,1
1920,t_2_g_7,0.864,0.7980,true,500,1
1950,t_0_g_10,0.034,0.8360,true,500,1
1950,t_1_g_3,0.096,0.8360,true,500,1
1950,t_2_g_7,0.87,0.8360,true,500,1
1980,t_0_g_10,0.078,0.7740,true,500,1
1980,t_1_g_3,0.074,0.7740,true,500,1
1980,t_2_g_7,0.848,0.7740,true,500,1
2010,t_0_g_10,0.114,0.8020,true,500,1
2010,t_1_g_3,0.042,0.8020,true,500,1
2010,t_2_g_7,0.844,0.8020,true,500,1
2040,t_0_g_10,0.108,0.7520,true,500,1
2040,t_1_g_3,0.07,0.7520,true,500,1
2040,t_2_g_7,0.822,0.7520,true,500,1
2070,t_0_g_10,0.148,0.8040,true,500,1
2070,t_1_g_4,0.024,0.8040,true,500,1
2070,t_2_g_7,0.828,0.8040,true,500,1
2100,t_0_g_10,0.142,0.7180,true,500,1
2100,t_1_g_4,0.07,0.7180,true,500,1
2100,t_2_g_7,0.788,0.7180,true,500,1
2130,t_0_g_11,0.024,0.8100,true,500,1
2130,t_1_g_4,0.142,0.8100,true,500,1
2130,t_2_g_7,0.834,0.8100,true,500,1
2160,t_0_g_11,0.056,0.7840,true,500,1
2160,t_1_g_4,0.104,0.7840,true,500,1
2160,t_2_g_7,0.84,0.7840,true,500,1
2190,t_0_g_11,0.126,0.8100,true,500,1
2190,t_1_g_4,0.032,0.8100,true,500,1
2190,t_2_g_7,0.842,0.8100,true,500,1
2220,t_0_g_11,0.144,0.7520,true,500,1
2220,t_1_g_4,0.052,0.7520,true,500,1
2220,t_2_g_7,0.804,0.7520,true,500,1
2250,t_0_g_11,0.184,0.7880,true,500,1
2250,t_1_g_5,0.014,0.7880,true,500,1
2250,t_2_g_7,0.802,0.7880,true,500,1
2280,t_0_g_11,0.206,0.7300,true,500,1
2280,t_1_g_5,0.032,0.7300,true,500,1
2280,t_2_g_7,0.762,0.7300,true,500,1
2310,t_0_g_11,0.23,0.6980,true,500,1
2310,t_1_g_5,0.036,0.6980,true,500,1
2310,t_2_g_7,0.734,0.6980,true,500,1
2340,t_0_g_11,0.248,0.6880,true,500,1
2340,t_1_g_5,0.032,0.6880,true,500,1
2340,t_2_g_7,0.72,0.6880,true,500,1
2370,t_0_g_11,0.268,0.6800,true,500,1
2370,t_1_g_5,0.026,0.6800,true,500,1
2370,t_2_g_7,0.706,0.6800,true,500,1
2400,t_0_g_11,0.648,0.6440,true,500,1
2400,t_1_g_5,0.348,0.6440,true,500,1
2400,t_2_g_8,0.004,0.6440,true,500,1
2430,t_0_g_11,0.644,0.6280,true,500,1
2430,t_1_g_5,0.34,0.6280,true,500,1
2430,t_2_g_8,0.016,0.6280,true,500,1
2460,t_0_g_11,0.818,0.8180,true,500,1
2460,t_1_g_6,0,0.8180,true,500,1
2460,t_2_g_8,0.182,0.8180,true,500,1
2490,t_0_g_11,0.802,0.7860,true,500,1
2490,t_1_g_6,0.016,0.7860,true,500,1
2490,t_2_g_8,0.182,0.7860,true,500,1
2520,t_0_g_11,0.826,0.7940,true,500,1
2520,t_1_g_6,0.142,0.7940,true,500,1
2520,t_2_g_8,0.032,0.7940,true,500,1
2550,t_0_g_11,0.804,0.7680,true,500,1
2550,t_1_g_6,0.16,0.7680,true,500,1
2550,t_2_g_8,0.036,0.7680,true,500,1
2580,t_0_g_11,0.786,0.7760,true,500,1
2580,t_1_g_6,0.204,0.7760,true,500,1
2580,t_2_g_9,0.01,0.7760,true,500,1
2610,t_0_g_11,0.768,0.7500,true,500,1
2610,t_1_g_6,0.214,0.7500,true,500,1
2610,t_2_g_9,0.018,0.7500,true,500,1
2640,t_0_g_11,0.748,0.7220,true,500,1
2640,t_1_g_6,0.226,0.7220,true,500,1
2640,t_2_g_9,0.026,0.7220,true,500,1
2670,t_0_g_11,0.72,0.6880,true,500,1
2670,t_1_g_6,0.248,0.6880,true,500,1
2670,t_2_g_9,0.032,0.6880,true,500,1
2700,t_0_g_11,0.706,0.6580,true,500,1
2700,t_1_g_6,0.246,0.6580,true,500,1
2700,t_2_g_9,0.048,0.6580,true,500,1
2730,t_0_g_11,0.694,0.6440,true,500,1
2730,t_1_g_6,0.256,0.6440,true,500,1
2730,t_2_g_9,0.05,0.6440,true,500,1
2760,t_0_g_11,0.686,0.6740,true,500,1
2760,t_1_g_6,0.302,0.6740,true,500,1
2760,t_2_g_10,0.012,0.6740,true,500,1
2790,t_0_g_11,0.674,0.6500,true,500,1
2790,t_1_g_6,0.302,0.6500,true,500,1
2790,t_2_g_10,0.024,0.6500,true,500,1
2820,t_0_g_11,0.66,0.6320,true,500,1
2820,t_1_g_6,0.312,0.6320,true,500,1
2820,t_2_g_10,0.028,0.6320,true,500,1
2850,t_0_g_11,0.648,0.6160,true,500,1
2850,t_1_g_6,0.32,0.6160,true,500,1
2850,t_2_g_10,0.032,0.6160,true,500,1
2880,t_0_g_11,0.632,0.5960,true,500,1
2880,t_1_g_6,0.332,0.5960,true,500,1
2880,t_2_g_10,0.036,0.5960,true,500,1
2910,t_0_g_11,0.788,0.7860,true,500,1
2910,t_1_g_7,0.002,0.7860,true,500,1
2910,t_2_g_10,0.21,0.7860,true,500,1
2940,t_0_g_11,0.768,0.7460,true,500,1
2940,t_1_g_7,0.022,0.7460,true,500,1
2940,t_2_g_10,0.21,0.7460,true,500,1
2970,t_0_g_11,0.846,0.8440,true,500,1
2970,t_1_g_7,0.152,0.8440,true,500,1
2970,t_2_g_11,0.002,0.8440,true,500,1
3000,t_0_g_11,0.828,0.8100,true,500,1
3000,t_1_g_7,0.154,0.8100,true,500,1
3000,t_2_g_11,0.018,0.8100,true,500,1
